Course,Course Number,Course Title,Credit Hours,Instructor,Days,Location,Start Time,End Time
CPSC,2120,Algorithms and Data Structures,4,Nicolas Benjamin Widman,TR,Online,15:30:00,16:45:00
CPSC,2120,Algorithms and Data Structures,4,Pradip K. Srimani,Asynchronous,Online,,
CPSC,2121,Algorithms and Data Structures Laboratory,0,NIcolas Benjamin Widman,MW,Barre Hall,9:05:00,9:55:00
CPSC,2121,Algorithms and Data Structures Laboratory,0,NIcolas Benjamin Widman,MW,Barre Hall,10:10:00,11:00:00
CPSC,2121,Algorithms and Data Structures Laboratory,0,NIcolas Benjamin Widman,MW,Barre Hall,13:25:00,14:15:00
CPSC,2121,Algorithms and Data Structures Laboratory,0,NIcolas Benjamin Widman,MW,Barre Hall,14:30:00,15:20:00
CPSC,2121,Algorithms and Data Structures Laboratory,0,NIcolas Benjamin Widman,MW,Barre Hall,15:30:00,16:20:00
CPSC,2150,Software Development Foundations,3,Yu-Shan Sun,MW,Hendrix Student Center,8:00:00,8:50:00
CPSC,2150,Software Development Foundations,3,Yu-Shan Sun,MW,Hendrix Student Center,9:00:00,9:55:00
CPSC,2150,Software Development Foundations,3,Murali Sitaraman,MW,Online,13:25:00,14:15:00
CPSC,2151,Software Development Foundations Laboratory,0,Yu-Shan Sun,M,Online,11:15:00,13:05:00
CPSC,2151,Software Development Foundations Laboratory,0,Yu-Shan Sun,M,Online,14:30:00,16:20:00
CPSC,2151,Software Development Foundations Laboratory,0,Yu-Shan Sun,M,Online,16:30:00,18:20:00
CPSC,2151,Software Development Foundations Laboratory,0,Yu-Shan Sun,W,Online,11:15:00,13:05:00
CPSC,2151,Software Development Foundations Laboratory,0,Yu-Shan Sun,W,Online,14:30:00,4:20:00
CPSC,2151,Software Development Foundations Laboratory,0,Yu-Shan Sun,W,Online,16:30:00,6:20:00
CPSC,2310,Introduction to Computer Organization,4,Yvon H. Feaster,MWF,Online,10:10:00,11:00:00
CPSC,2200,Problem Solving with Office Applications,3,Catherine Ann Kittelstad,MW,Online,11:15:00,12:05:00
CPSC,2200,Problem Solving with Office Applications,3,Catherine Ann Kittelstad,MW,Online,11:15:00,12:05:00
CPSC,2070,Discrete Structures for Computing,3,Kai Liu,TR,Online,9:30:00,10:45:00
CPSC,2070,Discrete Structures for Computing,3,Sandra M Hedetniemi,Asynchronous,Online,,
CPSC,2920,"Computing, Ethics, and Global Society",3,Julian Langston Brinkley,MW,Online,9:05:00,9:55:00
CPSC,2910,Seminar in Professional Issues I,1,Connie Taylor,M,Hendrix Student Center,14:30:00,15:20:00
CPSC,2910,Seminar in Professional Issues I,1,Connie Taylor,W,Hendrix Student Center,14:30:00,15:20:00
CPSC,2910,Seminar in Professional Issues I,1,Connie Taylor,F,Hendrix Student Center,14:30:00,15:20:00
MATH,2060,Calculus of Several Variables,4,Timothy Franklin Parrott,MTWF,Online,8:00:00,8:50:00
MATH,2060,Calculus of Several Variables,4,Timothy Franklin Parrott,MTWF,Online,9:05:00,9:55:00
MATH,2060,Calculus of Several Variables,4,Timothy Franklin Parrott,MTWF,Online,11:00:00,11:50:00
MATH,2060,Calculus of Several Variables,4,Timothy Charles Teitloff,MTWF,Holtzendorff Hall,12:20:00,13:10:00
MATH,2060,Calculus of Several Variables,4,Timothy Charles Teitloff,MTWF,Fike Recreation Center,13:25:00,14:15:00
MATH,3110,Linear Algebra,3,Beth A Novick,MWF,Online,9:05:00,9:55:00
MATH,3110,Linear Algebra,3,Nantsoina Cynthia Ramiharimanana,MFW,Fike Recreation Center,10:10:00,11:00:00
MATH,3110,Linear Algebra,3,Nantsoina Cynthia Ramiharimanana,MFW,Daniel Hall,12:20:00,13:10:00
MATH,3110,Linear Algebra,3,Benjamin Kibort Breen,TR,Online,12:30:00,13:45:00
MATH,3110,Linear Algebra,3,Benjamin Kibort Breen,TR,Online,12:30:00,13:45:00
STAT,3090,Introductory Business Statistics,3,Marwah Mahmoud Soliman,MWF,Dillard Building,8:00:00,8:50:00
STAT,3090,Introductory Business Statistics,3,Shuai Wei,MWF,Online,9:05:00,9:55:00
STAT,3090,Introductory Business Statistics,3,Marwah Mahmoud Soliman,MWF,Dillard Building,10:10:00,11:00:00
STAT,3090,Introductory Business Statistics,3,Caroline Kerfonta,MWF,Dillard Building,11:15:00,12:05:00
STAT,3090,Introductory Business Statistics,3,Molly Adams Honecker,MWF,Online,12:20:00,1:10:00
STAT,3090,Introductory Business Statistics,3,Sarah M Kelly,MWF,Online,13:25:00,14:15:00
STAT,3090,Introductory Business Statistics,3,Tiantian Yang,MW,Online,14:30:00,15:45:00
STAT,3090,Introductory Business Statistics,3,Sean Walker Ingimarson,MW,Online,16:00:00,17:15:00
STAT,3090,Introductory Business Statistics,3,April Thomas,TR,Online,8:00:00,9:15:00
STAT,3090,Introductory Business Statistics,3,April Thomas,TR,Online,9:30:00,10:45:00
PHYS ,2210,Physics with Calculus II,3,Jason Stratford Brown,MWF,Online,12:20:00,13:10:00
PHYS ,2210,Physics with Calculus II,3,Jason Stratford Brown,MWF,Online,13:25:00,14:15:00
PHYS ,2210,Physics with Calculus II,3,Sean D Brittain,TR,Hendrix Student Center,8:00:00,9:15:00
PHYS ,2210,Physics with Calculus II,3,Murray S Draw,MWF,Freeman Hall,10:10:00,11:00:00
PHYS ,2230,Physics Laboratory II,1,Aniruddha Pan,M,Online,15:35:00,18:25:00
PHYS ,2230,Physics Laboratory II,1,Aniruddha Pan,M,Online,18:40:00,21:30:00
PHYS ,2230,Physics Laboratory II,1,Aniruddha Pan,T,Online,11:00:00,13:50:00
PHYS ,2230,Physics Laboratory II,1,Aniruddha Pan,T,Online,14:10:00,17:00:00
PHYS ,2230,Physics Laboratory II,1,Aniruddha Pan,T,Online,17:20:00,20:10:00
PHYS ,2230,Physics Laboratory II,1,Aniruddha Pan,W,Online,14:30:00,17:20:00
PHYS ,2230,Physics Laboratory II,1,Aniruddha Pan,W,Online,18:00:00,20:50:00
PHYS ,2230,Physics Laboratory II,1,Aniruddha Pan,R,Online,12:30:00,15:20:00
PHYS ,2230,Physics Laboratory II,1,Aniruddha Pan,R,Online,9:30:00,12:20:00
STS,1010,Survey of Science and Technology in Society,3,Megan Palmer,TR,Online,11:00:00,12:15:00
STS,1010,Survey of Science and Technology in Society,3,Scott E Brame,TR,Online,9:30:00,10:45:00
STS,1010,Survey of Science and Technology in Society,3,Elizabeth Anderson Stansell,MWF,Online,12:20:00,13:10:00
STS,1010,Survey of Science and Technology in Society,3,Chelsea Marie Clarey,MWF,Online,13:25:00,14:15:00
STS,1010,Survey of Science and Technology in Society,3,Tareva Leselle Johnson,TR,Online,11:00:00,12:15:00
STS,1010,Survey of Science and Technology in Society,3,Nancy Paxton-Wilson,TR,Online,8:00:00,9:15:00
STS,1010,Survey of Science and Technology in Society,3,Philip D Randall,TR,Online,8:00:00,9:15:00
STS,1010,Survey of Science and Technology in Society,3,David Charles Foltz,TR,Cooper Library,14:00:00,15:15:00
STS,1010,Survey of Science and Technology in Society,3,Megan MacAlystre,MWF,Online,13:25:00,14:15:00
STS,1010,Survey of Science and Technology in Society,3,Alexander John Billinis,MWF,Hendrix Student Center,8:00:00,8:50:00
STS,1010,Survey of Science and Technology in Society,3,Anne McMahan Grant,TR,Online,15:30:00,16:45:00
COMM,1500,Introduction to Human Communication,3,Daniel Leland Fecher,MW,Online,10:10:00,11:00:00
COMM,1500,Introduction to Human Communication,3,Daniel Leland Fecher,MW,Online,8:00:00,8:50:00
COMM,1500,Introduction to Human Communication,3,Daniel Leland Fecher,MW,Online,9:05:00,9:55:00
COMM,1500,Introduction to Human Communication,3,Marianne Herr Glaser,MW,Online,10:10:00,11:00:00
COMM,1500,Introduction to Human Communication,3,Marianne Herr Glaser,MW,Online,11:15:00,12:05:00
COMM,1500,Introduction to Human Communication,3,Vanessa Anne Condon,TR,Online,8:00:00,8:50:00
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,MW,Collge of Business,8:00:00,8:50:00
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,MW,Watt Family Innovation Center,9:05:00,9:55:00
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,MW,Hendrix Student Center,11:15:00,12:05:00
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,MW,Biosystems Research Complex,11:15:00,12:05:00
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,TR,Collge of Business,8:00:00,8:50:00
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,TR,Watt Family Innovation Center,9:30:00,10:20:00
