Course,Course Number,Course Title,Credit Hours,Instructor,Days,Location,Start Time,End Time,Start TIme,End Time
CPSC,2120,Algorithms and Data Structures,4,Nicolas Benjamin Widman,TR,Online,3:30:00 PM,4:45:00 PM,,
CPSC,2120,Algorithms and Data Structures,4,Pradip K. Srimani,Asynchronous,Online,,,,
CPSC,2121,Algorithms and Data Structures Laboratory,0,NIcolas Benjamin Widman,MW,Barre Hall,9:05:00 AM,9:55:00 AM,,
CPSC,2121,Algorithms and Data Structures Laboratory,0,NIcolas Benjamin Widman,MW,Barre Hall,10:10:00 AM,11:00:00 AM,,
CPSC,2121,Algorithms and Data Structures Laboratory,0,NIcolas Benjamin Widman,MW,Barre Hall,1:25:00 PM,2:15:00 PM,,
CPSC,2121,Algorithms and Data Structures Laboratory,0,NIcolas Benjamin Widman,MW,Barre Hall,2:30:00 PM,3:20:00 PM,,
CPSC,2121,Algorithms and Data Structures Laboratory,0,NIcolas Benjamin Widman,MW,Barre Hall,3:30:00 PM,4:20:00 PM,,
CPSC,2150,Software Development Foundations,3,Yu-Shan Sun,MW,Hendrix Student Center,8:00:00 AM,8:50:00 AM,,
CPSC,2150,Software Development Foundations,3,Yu-Shan Sun,MW,Hendrix Student Center,9:00:00 AM,9:55:00 AM,,
CPSC,2150,Software Development Foundations,3,Murali Sitaraman,MW,Online,1:25:00 PM,2:15:00 PM,,
CPSC,2151,Software Development Foundations Laboratory,0,Yu-Shan Sun,M,Online,11:15:00 AM,1:05:00 PM,,
CPSC,2151,Software Development Foundations Laboratory,0,Yu-Shan Sun,M,Online,2:30:00 PM,4:20:00 PM,,
CPSC,2151,Software Development Foundations Laboratory,0,Yu-Shan Sun,M,Online,4:30:00 PM,6:20:00 PM,,
CPSC,2151,Software Development Foundations Laboratory,0,Yu-Shan Sun,W,Online,11:15:00 AM,1:05:00 PM,,
CPSC,2151,Software Development Foundations Laboratory,0,Yu-Shan Sun,W,Online,2:30:00 PM,4:20:00 AM,,
CPSC,2151,Software Development Foundations Laboratory,0,Yu-Shan Sun,W,Online,4:30:00 PM,6:20:00 AM,,
CPSC,2310,Introduction to Computer Organization,4,Yvon H. Feaster,MWF,Online,10:10:00 AM,11:00:00 AM,,
CPSC,2200,Problem Solving with Office Applications,3,Catherine Ann Kittelstad,MW,Online,11:15:00 AM,12:05:00 PM,,
CPSC,2200,Problem Solving with Office Applications,3,Catherine Ann Kittelstad,MW,Online,11:15:00 AM,12:05:00 PM,,
CPSC,2070,Discrete Structures for Computing,3,Kai Liu,TR,Online,9:30:00 AM,10:45:00 AM,,
CPSC,2070,Discrete Structures for Computing,3,Sandra M Hedetniemi,Asynchronous,Online,,,,
CPSC,2920,"Computing, Ethics, and Global Society",3,Julian Langston Brinkley,MW,Online,9:05:00 AM,9:55:00 AM,,
CPSC,2910,Seminar in Professional Issues I,1,Connie Taylor,M,Hendrix Student Center,2:30:00 PM,3:20:00 PM,,
CPSC,2910,Seminar in Professional Issues I,1,Connie Taylor,W,Hendrix Student Center,2:30:00 PM,3:20:00 PM,,
CPSC,2910,Seminar in Professional Issues I,1,Connie Taylor,F,Hendrix Student Center,2:30:00 PM,3:20:00 PM,,
MATH,1080,Calculus of One Variable II,4,Travis R Alvarez,MWRF,Online,8:00:00 AM,8:50:00 AM,8:00:00 AM,8:50:00 AM
MATH,1080,Calculus of One Variable II,4,Scott R Scruggs,MWRF,Online,10:10:00 AM,11:00:00 AM,9:30:00 AM,10:20:00 AM
MATH,1080,Calculus of One Variable II,4,Matthew Macauley,MWRF,Online,10:10:00 AM,11:00:00 AM,11:00:00 AM,11:50:00 AM
